Date,High,Low,Open,Close,Volume,Adj Close,Name,Symbol
2020-01-02,111.20999908447266,109.2750015258789,109.47000122070312,110.75,7418800,110.75,PayPal,PYPL
2020-01-03,110.41999816894531,108.76000213623047,109.48999786376953,108.76000213623047,7098300,108.76000213623047,PayPal,PYPL
2020-01-06,110.22000122070312,107.44000244140625,107.56999969482422,110.16999816894531,6764500,110.16999816894531,PayPal,PYPL
2020-01-07,111.55999755859375,109.52999877929688,111.5,109.66999816894531,6898700,109.66999816894531,PayPal,PYPL
2020-01-08,112.63999938964844,109.81999969482422,110.4000015258789,111.81999969482422,8293600,111.81999969482422,PayPal,PYPL
2020-01-09,113.55999755859375,111.58999633789062,112.98999786376953,112.56999969482422,5944700,112.56999969482422,PayPal,PYPL
2020-01-10,113.70999908447266,112.2699966430664,113.63999938964844,112.93000030517578,6965100,112.93000030517578,PayPal,PYPL
2020-01-13,115.87999725341797,113.86000061035156,113.9800033569336,115.27999877929688,9652500,115.27999877929688,PayPal,PYPL
2020-01-14,115.58999633789062,114.12000274658203,115.51499938964844,114.63999938964844,7182000,114.63999938964844,PayPal,PYPL
2020-01-15,115.94999694824219,114.61000061035156,115.13999938964844,114.8499984741211,5955200,114.8499984741211,PayPal,PYPL
2020-01-16,116.0,114.8499984741211,115.91999816894531,115.4000015258789,4770900,115.4000015258789,PayPal,PYPL
2020-01-17,116.69999694824219,115.47000122070312,116.44999694824219,116.04000091552734,9730400,116.04000091552734,PayPal,PYPL
2020-01-21,116.38999938964844,115.11000061035156,115.30999755859375,116.1500015258789,8746200,116.1500015258789,PayPal,PYPL
2020-01-22,117.44999694824219,115.47000122070312,116.7300033569336,115.5,5305300,115.5,PayPal,PYPL
2020-01-23,117.94000244140625,115.80000305175781,117.4000015258789,117.88999938964844,8533900,117.88999938964844,PayPal,PYPL
2020-01-24,119.5999984741211,116.51000213623047,118.44999694824219,116.9800033569336,7124000,116.9800033569336,PayPal,PYPL
2020-01-27,115.9800033569336,112.30999755859375,113.62999725341797,115.23999786376953,7002300,115.23999786376953,PayPal,PYPL
2020-01-28,117.20999908447266,114.71499633789062,115.83000183105469,116.5199966430664,6433000,116.5199966430664,PayPal,PYPL
2020-01-29,117.52999877929688,115.16000366210938,117.47000122070312,116.66000366210938,9236800,116.66000366210938,PayPal,PYPL
2020-01-30,117.19999694824219,112.41999816894531,112.79000091552734,117.12000274658203,13653300,117.12000274658203,PayPal,PYPL
2020-01-31,117.31999969482422,113.1500015258789,116.75,113.88999938964844,9467200,113.88999938964844,PayPal,PYPL
2020-02-03,117.23999786376953,114.05000305175781,114.30000305175781,116.51000213623047,8236600,116.51000213623047,PayPal,PYPL
2020-02-04,120.33999633789062,117.30000305175781,118.04000091552734,120.08000183105469,7396800,120.08000183105469,PayPal,PYPL
2020-02-05,122.19000244140625,118.89099884033203,121.19999694824219,119.72000122070312,7595300,119.72000122070312,PayPal,PYPL
2020-02-06,120.5999984741211,119.47000122070312,120.08999633789062,119.88999938964844,4020300,119.88999938964844,PayPal,PYPL
2020-02-07,119.66999816894531,118.41000366210938,119.5999984741211,118.87999725341797,4166300,118.87999725341797,PayPal,PYPL
2020-02-10,120.1500015258789,118.5,118.55999755859375,120.05999755859375,4868000,120.05999755859375,PayPal,PYPL
2020-02-11,121.0,118.4000015258789,120.76000213623047,118.83999633789062,4677400,118.83999633789062,PayPal,PYPL
2020-02-12,119.91000366210938,117.87000274658203,118.8499984741211,118.55999755859375,6482300,118.55999755859375,PayPal,PYPL
2020-02-13,121.0999984741211,117.80000305175781,118.04000091552734,120.51000213623047,6066300,120.51000213623047,PayPal,PYPL
2020-02-14,123.0,120.80000305175781,120.88999938964844,122.98999786376953,5769900,122.98999786376953,PayPal,PYPL
2020-02-18,122.98999786376953,121.68000030517578,122.58000183105469,122.2699966430664,5085700,122.2699966430664,PayPal,PYPL
2020-02-19,124.44999694824219,122.30000305175781,122.62999725341797,123.91000366210938,4878600,123.91000366210938,PayPal,PYPL
2020-02-20,124.30999755859375,120.4000015258789,123.86000061035156,122.43000030517578,7212900,122.43000030517578,PayPal,PYPL
2020-02-21,121.8499984741211,118.52999877929688,121.72000122070312,119.48999786376953,5894500,119.48999786376953,PayPal,PYPL
2020-02-24,116.79000091552734,113.5199966430664,114.29000091552734,116.44000244140625,10139300,116.44000244140625,PayPal,PYPL
2020-02-25,116.41500091552734,109.33000183105469,115.66999816894531,109.66000366210938,13636100,109.66000366210938,PayPal,PYPL
2020-02-26,112.62999725341797,108.5999984741211,109.80999755859375,109.11000061035156,10301800,109.11000061035156,PayPal,PYPL
2020-02-27,112.05000305175781,106.30000305175781,106.30000305175781,107.83999633789062,15461900,107.83999633789062,PayPal,PYPL
2020-02-28,108.7300033569336,103.72000122070312,104.26000213623047,107.98999786376953,17216000,107.98999786376953,PayPal,PYPL
2020-03-02,113.05000305175781,106.52999877929688,107.45999908447266,112.86000061035156,13367000,112.86000061035156,PayPal,PYPL
2020-03-03,114.55999755859375,108.26000213623047,112.81999969482422,109.76000213623047,11912300,109.76000213623047,PayPal,PYPL
2020-03-04,115.38999938964844,110.62000274658203,112.04000091552734,115.30000305175781,8245200,115.30000305175781,PayPal,PYPL
2020-03-05,114.9000015258789,111.23999786376953,112.02999877929688,112.18000030517578,7671500,112.18000030517578,PayPal,PYPL
2020-03-06,111.56999969482422,107.58000183105469,107.94999694824219,110.88999938964844,8524300,110.88999938964844,PayPal,PYPL
