Date,High,Low,Open,Close,Volume,Adj Close,Name,Symbol
2020-01-02,355.70001220703125,343.6199951171875,344.44000244140625,355.70001220703125,941900.0,349.8098449707031,Northrop Grumman,NOC
2020-01-03,375.82000732421875,366.3699951171875,368.1499938964844,375.010009765625,2600300.0,368.800048828125,Northrop Grumman,NOC
2020-01-06,382.260009765625,372.5799865722656,379.95001220703125,375.8299865722656,2130000.0,369.6064758300781,Northrop Grumman,NOC
2020-01-07,376.7099914550781,371.0899963378906,373.6199951171875,374.9700012207031,863600.0,368.7607116699219,Northrop Grumman,NOC
2020-01-08,379.2699890136719,367.1000061035156,376.20001220703125,370.2900085449219,1312400.0,364.1582336425781,Northrop Grumman,NOC
2020-01-09,373.5,369.1700134277344,370.55999755859375,372.3599853515625,741500.0,366.19390869140625,Northrop Grumman,NOC
2020-01-10,375.0,369.760009765625,372.3699951171875,374.3900146484375,1178200.0,368.1903076171875,Northrop Grumman,NOC
2020-01-13,377.760009765625,374.80999755859375,375.7300109863281,376.8299865722656,667400.0,370.5898742675781,Northrop Grumman,NOC
2020-01-14,376.17999267578125,373.0799865722656,375.79998779296875,374.6700134277344,740600.0,368.4656982421875,Northrop Grumman,NOC
2020-01-15,381.7799987792969,374.67999267578125,374.67999267578125,380.260009765625,650500.0,373.9631042480469,Northrop Grumman,NOC
2020-01-16,384.6099853515625,379.57000732421875,381.6099853515625,383.7799987792969,839100.0,377.4248352050781,Northrop Grumman,NOC
2020-01-17,384.67999267578125,378.2900085449219,384.67999267578125,379.9700012207031,1237700.0,373.6778869628906,Northrop Grumman,NOC
2020-01-21,381.19000244140625,373.9599914550781,379.3800048828125,378.1300048828125,1420900.0,371.868408203125,Northrop Grumman,NOC
2020-01-22,380.3399963378906,375.260009765625,378.5,375.32000732421875,864300.0,369.10491943359375,Northrop Grumman,NOC
2020-01-23,381.6400146484375,374.760009765625,375.79998779296875,381.5,1099400.0,375.18255615234375,Northrop Grumman,NOC
2020-01-24,384.17999267578125,380.20001220703125,383.0199890136719,381.6400146484375,738000.0,375.3202819824219,Northrop Grumman,NOC
2020-01-27,380.989990234375,375.7799987792969,378.3599853515625,379.07000732421875,665200.0,372.7928161621094,Northrop Grumman,NOC
2020-01-28,383.9800109863281,374.2200012207031,380.5,381.8399963378906,674500.0,375.5169372558594,Northrop Grumman,NOC
2020-01-29,384.4800109863281,378.1400146484375,384.4800109863281,382.6499938964844,639600.0,376.3135070800781,Northrop Grumman,NOC
2020-01-30,385.010009765625,369.17999267578125,373.1000061035156,384.8699951171875,1397400.0,378.4967346191406,Northrop Grumman,NOC
2020-01-31,384.3299865722656,372.0799865722656,383.3299865722656,374.57000732421875,1086400.0,368.3673095703125,Northrop Grumman,NOC
2020-02-03,370.0,362.760009765625,367.3299865722656,363.75,1316200.0,357.72650146484375,Northrop Grumman,NOC
2020-02-04,367.8999938964844,360.0,366.6300048828125,361.80999755859375,1054400.0,355.8186340332031,Northrop Grumman,NOC
2020-02-05,368.8900146484375,358.79998779296875,362.5799865722656,367.79998779296875,815200.0,361.7094421386719,Northrop Grumman,NOC
2020-02-06,366.7200012207031,362.5,366.7200012207031,363.75,860000.0,357.72650146484375,Northrop Grumman,NOC
2020-02-07,366.1700134277344,361.1199951171875,363.3800048828125,361.4200134277344,790300.0,355.4350891113281,Northrop Grumman,NOC
2020-02-10,364.0299987792969,357.6199951171875,361.04998779296875,363.2900085449219,716400.0,357.2741394042969,Northrop Grumman,NOC
2020-02-11,371.9800109863281,363.80999755859375,364.55999755859375,368.0400085449219,697600.0,361.9454650878906,Northrop Grumman,NOC
2020-02-12,369.2300109863281,363.9800109863281,367.6099853515625,367.7300109863281,935400.0,361.6405944824219,Northrop Grumman,NOC
2020-02-13,370.4700012207031,365.0400085449219,366.70001220703125,368.0,848600.0,361.9061279296875,Northrop Grumman,NOC
2020-02-14,371.6400146484375,367.010009765625,368.82000732421875,370.94000244140625,635100.0,364.7974548339844,Northrop Grumman,NOC
2020-02-18,372.6400146484375,365.75,367.70001220703125,372.4200134277344,810900.0,366.2529602050781,Northrop Grumman,NOC
2020-02-19,374.3900146484375,365.9599914550781,373.2200012207031,366.1499938964844,864600.0,360.0867614746094,Northrop Grumman,NOC
2020-02-20,367.6199951171875,360.5299987792969,365.2799987792969,363.25,995200.0,357.2347717285156,Northrop Grumman,NOC
2020-02-21,365.92999267578125,358.0299987792969,360.6600036621094,365.010009765625,880000.0,360.27484130859375,Northrop Grumman,NOC
2020-02-24,365.8500061035156,357.7200012207031,357.989990234375,359.3900146484375,997500.0,354.7277526855469,Northrop Grumman,NOC
2020-02-25,361.44000244140625,338.7799987792969,361.07000732421875,339.9700012207031,1458800.0,335.5596618652344,Northrop Grumman,NOC
2020-02-26,347.1499938964844,334.30999755859375,342.5,334.32000732421875,934400.0,329.98297119140625,Northrop Grumman,NOC
2020-02-27,337.7900085449219,325.0,329.489990234375,331.57000732421875,2054500.0,327.2686462402344,Northrop Grumman,NOC
2020-02-28,329.82000732421875,313.9800109863281,320.0,328.8399963378906,2921200.0,324.5740661621094,Northrop Grumman,NOC
2020-03-02,336.92999267578125,321.8599853515625,330.4599914550781,335.989990234375,1547000.0,331.63128662109375,Northrop Grumman,NOC
2020-03-03,347.8999938964844,329.010009765625,335.989990234375,329.3800048828125,1207900.0,325.1070251464844,Northrop Grumman,NOC
2020-03-04,347.989990234375,330.5199890136719,335.57000732421875,346.9700012207031,1193700.0,342.4688720703125,Northrop Grumman,NOC
2020-03-05,342.0299987792969,325.8599853515625,339.4800109863281,327.7799987792969,1214100.0,323.5278015136719,Northrop Grumman,NOC
2020-03-06,331.8999938964844,315.8399963378906,319.32000732421875,328.9599914550781,1361200.0,324.6924743652344,Northrop Grumman,NOC
2020-03-09,320.739990234375,280.0,306.94000244140625,313.2799987792969,1355400.0,309.2159118652344,Northrop Grumman,NOC
2020-03-10,335.1400146484375,321.6300048828125,324.69000244140625,334.8900146484375,1826700.0,330.54559326171875,Northrop Grumman,NOC
2020-03-11,330.3599853515625,311.8699951171875,325.45001220703125,317.8500061035156,1484400.0,313.72662353515625,Northrop Grumman,NOC
2020-03-12,308.9599914550781,289.260009765625,296.989990234375,290.5,2525900.0,286.7314147949219,Northrop Grumman,NOC
2020-03-13,315.6499938964844,289.5899963378906,303.6600036621094,314.5,2307500.0,310.4200744628906,Northrop Grumman,NOC
2020-03-16,300.44000244140625,274.5899963378906,274.5899963378906,282.5899963378906,1520200.0,278.9240417480469,Northrop Grumman,NOC
2020-03-17,319.8900146484375,287.5799865722656,288.3599853515625,319.3299865722656,2113200.0,315.1874084472656,Northrop Grumman,NOC
2020-03-18,325.8500061035156,298.6099853515625,301.010009765625,323.0,1779400.0,318.809814453125,Northrop Grumman,NOC
2020-03-19,322.989990234375,289.510009765625,321.1499938964844,296.9100036621094,1711600.0,293.05828857421875,Northrop Grumman,NOC
2020-03-20,301.1700134277344,274.7699890136719,300.94000244140625,284.0199890136719,1768500.0,280.33544921875,Northrop Grumman,NOC
